ASS,Distretto,id,Denominazione_struttura,Natura_giuridica,operator,addr:street,addr:housenumber,addr:postcode,addr:city,lon,lat,type,Prov.,Telefono,Fax,Email,Convenzione_con_SSR,Tipologia_residenza,description,social_facility,social_facility:for,capacity,Posti_letto_per_autosufficienti,capacity:disabled,Posti_letto_in_polifunzionale
ASS1 - Triestina,1.4 Nord,10,Casa Fiorita,privata di mercato,,Strada Nuova per Opicina,7,34151,Trieste,13.806988,45.6627968,house,TS,+39 040 55193,+39 040 55193,pbonazza@hotmail.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.4 Nord",nursing_home,senior,20,,,20
ASS1 - Triestina,1.1 Ovest,11,Casa Mario Capon,pubblica comunale,Comune di Trieste,Via Sant'Isidoro,13,34016,Trieste,13.7762076,45.6909744,house,TS,+39 040 211484,+39 040 214186,casa_riposo_capon@comune.trieste.it,non convenzionata,Casa albergo,"Casa albergo, pubblica comunale, non convenzionata con SSR; ASS1 - Triestina, distretto 1.1 Ovest",assisted_living,senior,25,25,,
ASS1 - Triestina,1.2 Sud,12,Casa Rusconi ASP,pubblica ASP,Casa Rusconi ASP,Via Giovanni Pascoli,31,34129,Trieste,13.7843493,45.6469455,house,TS,+39 040 3736303,,segreteria@itis.it,non convenzionata,Comunità alloggio,"Comunità alloggio, pubblica ASP, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",group_home,,30,30,,
ASS1 - Triestina,1.4 Nord,13,Centro per l'anziano,pubblica comunale,Comune di Trieste,Via Carlo de Marchesetti,8/3,34142,Trieste,13.8195228,45.6437799,house,TS,+39 040 910252,+39 040 9149252,Amministrazione_CPA@comune.trieste.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica comunale, convenzionata con SSR; ASS1 - Triestina, distretto 1.4 Nord",nursing_home,senior;disabled,206,86,120,
ASS1 - Triestina,1.1 Ovest,14,Fiori del Carso,privata di mercato,,aurisina Stazione,26a,34011,Duino Aurisina ,13.68592460763853,45.7503965,social_facility,TS,+39 040 3784300,+39 040 3784313,fiori@pinetadelcarso.it,convenzionata,Residenza polifunzionale con modulo fascia A,"Residenza polifunzionale con modulo fascia A, privata di mercato, convenzionata con SSR; ASS1 - Triestina, distretto 1.1 Ovest",nursing_home,,57,,,57
ASS2 - Isontina,2.2 Basso Isontino,15,I.S.A.,privata di mercato,,VIA pietro BLASERNA,12,34074,Monfalcone ,13.5324452,45.8104323,house,GO,+39 0481 412983,+39 0481 412983,info@casapensioneisa.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS2 - Isontina, distretto 2.2 Basso Isontino",nursing_home,senior,23,,,23
ASS5 - Bassa Friulana,5.1 Est,16,Ianus,privata sociale,,Viale San Marco,4,33057,Palmanova ,13.2992636,45.9102743,house,UD,+39 0432 924132,+39 0432 933001,ianus.segreteria@societadolce.it,convenzionata,Residenza polifunzionale con modulo fascia A,"Residenza polifunzionale con modulo fascia A, privata sociale, convenzionata con SSR; ASS5 - Bassa Friulana, distretto 5.1 Est",nursing_home,,60,,,60
ASS1 - Triestina,1.2 Sud,17,La  Primula,privata di mercato,,Via del Molino a Vento,72,34137,Trieste ,13.784536,45.6404365,house,TS,+39 040 369575,+39 040 369575,laprimulatrieste@libero.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,16,,,16
ASS1 - Triestina,1.2 Sud,18,La Fenice,privata di mercato,,Via Matteo Renato Imbriani,2,34122,Trieste,13.7754927,45.6497816,house,TS,+39 040 636666,+39 040 3723360,rottacorporation@gmail.com,convenzionata,Residenza polifunzionale con modulo fascia A,"Residenza polifunzionale con modulo fascia A, privata di mercato, convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,,38,,,38
ASS1 - Triestina,1.1 Ovest,19,La Meridiana,privata di mercato,,Via di Conconello,29,34151,Trieste,13.7941698,45.6842504,house,TS,+39 040 211511,+39 040 211511,cdrlameridiana@alice.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.1 Ovest",nursing_home,senior,25,,,25
ASS1 - Triestina,1.2 Sud,20,La Perla,privata di mercato,,Via Matteo Renato Imbriani,2,34122,Trieste,13.7754927,45.6497816,house,TS,+39 040 636666,+39 040 3723360,rottacorporation@gmail.com,convenzionata,Residenza polifunzionale con modulo fascia A,"Residenza polifunzionale con modulo fascia A, privata di mercato, convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,,34,,,34
ASS1 - Triestina,1.2 Sud,21,La Primula 2,privata di mercato,,Via Benvenuto Cellini,2,34132,Trieste ,13.7730301,45.6562004,house,TS,+39 040 661764,+39 040 661764,laprimulatrieste@libero.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,14,,,14
ASS1 - Triestina,1.2 Sud,22,La Roccia di Milana Mitic & C.,privata di mercato,,Via Cesare Battisti,25,34137,Trieste,13.7808515,45.6527528,cafe,TS,+39 040 370774,+39 040 370774,larocciasas@pec.cgn.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,10,,,10
ASS1 - Triestina,1.2 Sud,23,La tua casa,privata di mercato,,Via Giulia,1,34126,Trieste,13.7824149,45.6533859,pharmacy,TS,+39 040 370223,+39 040 635744,latuacasa_srl@libero.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,24,,,24
ASS1 - Triestina,1.2 Sud,24,La tua casa,privata di mercato,,Via Genova,23,34100,Trieste,13.7737085,45.6510339,house,TS,+39 040 636239,+39 040 635744,latuacasa_srl@libero.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,40,,,40
ASS1 - Triestina,1.2 Sud,25,La tua casa,privata di mercato,,Via Giulia,5,34126,Trieste,13.7831244,45.6534731,house,TS,+39 040 635744,+39 040 635744,latuacasa_srl@libero.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,25,,,25
ASS5 - Bassa Friulana,5.1 Est,26,La Villa Rosa,privata di mercato,,Via San Zenone,112,33052,Cervignano del Friuli ,13.3315759,45.8368542,house,UD,+39 0431 34744,+39 040 635744,latuacasa_srl@libero.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS5 - Bassa Friulana, distretto 5.1 Est",nursing_home,senior,42,,,42
ASS1 - Triestina,1.2 Sud,27,Le Mimose di Adriano Cornachin,privata di mercato,,Via San Francesco d'Assisi,15,34133,Trieste ,13.779278,45.6530656,house,TS,+39 040 0640340,,lemimose.ts@gmail.com,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,10,,,10
ASS1 - Triestina,1.2 Sud,28,Le Mimose di Adriano Cornachin,privata di mercato,,Via di Torre Bianca,25,34132,Trieste ,13.773935,45.65272,house,TS,+39 040 2454796,+39 040 0646407,lemimose.ts@gmail.com,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,14,,,14
ASS1 - Triestina,1.1 Ovest,29,Pia Casa Gentilomo Abramo Stock,ente religioso,,Via di Cologna,29,34127,Trieste ,13.789269,45.6557767,house,TS,+39 040 568578,+39 040 5705590,piacasagentilomo@triestebraica.it,convenzionata,Residenza protetta,"Residenza protetta, ente religioso, convenzionata con SSR; ASS1 - Triestina, distretto 1.1 Ovest",nursing_home,disabled,20,,20,
ASS1 - Triestina,1.2 Sud,30,Mademar,privata di mercato,,Via della Madonna del Mare,16,34124,Trieste,13.7683057,45.6467539,house,TS,+39 040 3220215,+39 040 3223268,,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,11,,,11
ASS1 - Triestina,1.2 Sud,31,Nonno Felice 1,privata di mercato,,Via Belpoggio,16,34100,Trieste,13.7595511,45.643338,house,TS,+39 040 311593,+39 040 311593,nonnofelicedue@vodafone.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,16,,,16
ASS1 - Triestina,1.2 Sud,32,Nonno Felice 2,privata di mercato,,Via Felice Venezian,4,34100,Trieste,13.7653543,45.648434,house,TS,+39 040 300870,+39 040 300870,nonnofelicedue@vodafone.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,19,,,19
ASS1 - Triestina,1.3 Est,33,Nuova Villa Iris,privata di mercato,,Via Log,194,34018,San Dorligo della Valle ,13.8364953,45.6211474,house,TS,+39 040 8323666,+39 040 8324728,info@nuovavillairis.com,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.3 Est",nursing_home,senior,25,,,25
ASS4 - Medio Friuli,4.2 Tarcento,34,Opera Pia Coianiz ASP,pubblica ASP,Opera Pia Coianiz ASP,via Pietro Coianiz,8,33017,Tarcento ,13.2195397,46.2191154,house,UD,+39 0432 780711,+39 0432 780715,segreteria@operapiacoianiz.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica ASP, convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.2 Tarcento",nursing_home,senior;disabled,210,55,155,
ASS1 - Triestina,1.3 Est,35,Pensione Brioni,privata di mercato,,Lazzaretto,4,34015,Muggia,13.7241184,45.6005715,house,TS,+39 040 271730,+39 040 271730,pensionebrioni@libero.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.3 Est",nursing_home,senior,39,,,39
ASS1 - Triestina,1.4 Nord,36,Suore Scolastiche Francescane di Cristo Re,privata sociale,,Via delle docce,34,34128,Trieste,13.8086902,45.6581211,house,TS,+39 040 567851,+39 040 567851,suore.scolastiche.ts@ssfcr.org,non convenzionata,Casa albergo,"Casa albergo, privata sociale, non convenzionata con SSR; ASS1 - Triestina, distretto 1.4 Nord",assisted_living,senior,18,18,,
ASS1 - Triestina,1.1 Ovest,37,Villa del Sole,privata di mercato,,Via di Repen,151,34016,Monrupino ,13.7873048,45.7209239,osmica,TS,+39 040 327349,+39 040 327349,l.cicia@alice.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.1 Ovest",nursing_home,senior,25,,,25
ASS1 - Triestina,1.1 Ovest,38,Villa Verde,privata di mercato,,aurisina Santa Croce,12,34011,Duino Aurisina ,13.6926847,45.7365586,social_facility,TS,+39 040 220813,+39 040 220608,villaverdetrieste@me.com,convenzionata,Residenza polifunzionale con modulo fascia A,"Residenza polifunzionale con modulo fascia A, privata di mercato, convenzionata con SSR; ASS1 - Triestina, distretto 1.1 Ovest",nursing_home,,44,,,44
ASS5 - Bassa Friulana,5.1 Est,39,ASP Ardito Desio,pubblica ASP,ASP Ardito Desio,Piazza Giuseppe Garibaldi,7,33057,Palmanova ,13.3076488,45.9040804,house,UD,+39 0432 929372,+39 0432 924690,cinzia@asparditodesio1.191.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica ASP, convenzionata con SSR; ASS5 - Bassa Friulana, distretto 5.1 Est",nursing_home,senior;disabled,117,23,94,
ASS4 - Medio Friuli,4.3 Cividale,40,ASP Casa di riposo Giuseppe Sirch,pubblica ASP,ASP Casa di riposo Giuseppe Sirch,VIA DEL KLANCIC,2,33049,San Pietro al Natisone ,13.4880472,46.1291854,house,UD,+39 0432 727013,+39 0432 727013,aspsirch@legalmail.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica ASP, convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.3 Cividale",nursing_home,senior;disabled,60,2,58,
ASS6 - Friuli occidentale,6.3 Sud,41,ASP Casa Lucia,pubblica ASP,ASP Casa Lucia,Via Roma,54,33087,Pasiano di Pordenone ,12.6248228,45.8485369,house,PN,+39 0434 614001,+39 0434 614009,aspcasalucia@pec.it,convenzionata,Residenza protetta,"Residenza protetta, pubblica ASP, convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.3 Sud",nursing_home,disabled,60,,60,
ASS4 - Medio Friuli,4.3 Cividale,42,ASP Casa per anziani Cividale,pubblica ASP,ASP Casa per anziani Cividale,Viale Trieste,42,33043,Cividale del Friuli ,13.4353029,46.0867941,house,UD,+39 0432 731048,+39 0432 700863,protocollo@aspcividale.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica ASP, convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.3 Cividale",nursing_home,senior;disabled,251,65,186,
ASS4 - Medio Friuli,4.4 Codroipo,43,ASP Daniele Moro Codroipo,pubblica ASP,ASP Daniele Moro Codroipo,Viale Francesco Duodo,80,33033,Codroipo ,12.994138280128503,45.962136799999996,social_facility,UD,+39 0432 909311,+39 0432 909306,info@aspmoro.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica ASP, convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.4 Codroipo",nursing_home,senior;disabled,129,6,123,
ASS6 - Friuli occidentale,6.2 Est,44,ASP Daniele Moro Morsano,pubblica ASP,ASP Daniele Moro Morsano,Via Roma,27,33075,Morsano al Tagliamento ,12.9262276,45.8620906,house,PN,+39 0434 697046,+39 0434 696057,info@entemoro.it,convenzionata,Residenza protetta,"Residenza protetta, pubblica ASP, convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.2 Est",nursing_home,disabled,113,,113,
ASS4 - Medio Friuli,4.5 Udine,45,ASP Fondazione Emilia Muner De Giudici,pubblica ASP,ASP Fondazione Emilia Muner De Giudici,Via della Libertà,19,33040,Pradamano ,13.3008844,46.0154318,house,UD,+39 0432 409311,+39 0432 670016,info@fondazionemuner.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica ASP, convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.5 Udine",nursing_home,senior;disabled,81,5,76,
ASS5 - Bassa Friulana,5.2 Ovest,46,ASP Giovanni Chiabà,pubblica ASP,ASP Giovanni Chiabà,Via achille Cristofoli,18,33058,San Giorgio di Nogaro ,13.2016575,45.8349524,house,UD,+39 0431 65032,+39 0431 65085,ragioneria@gchiaba.191.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica ASP, convenzionata con SSR; ASS5 - Bassa Friulana, distretto 5.2 Ovest",nursing_home,senior;disabled,152,13,139,
ASS6 - Friuli occidentale,6.3 Sud,47,ASP Solidarietà Mons. D. Cadore,pubblica ASP,ASP Solidarietà Mons. D. Cadore,Viale Venticinque Aprile,42,33082,Azzano Decimo ,12.7107214,45.8807052,house,PN,+39 0434 640074,+39 0434 640941,azzano@casaripososolidarieta.191.it,convenzionata,Residenza protetta,"Residenza protetta, pubblica ASP, convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.3 Sud",nursing_home,disabled,84,,84,
ASS5 - Bassa Friulana,5.2 Ovest,48,ASP Umberto I Latisana,pubblica ASP,ASP Umberto I Latisana,Via Sabbionera,103,33053,Latisana ,13.0026488,45.7678127,house,UD,+39 0431 50202,+39 0431 512480,amministrazione@umberto-primo.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica ASP, convenzionata con SSR; ASS5 - Bassa Friulana, distretto 5.2 Ovest",nursing_home,senior;disabled,56,6,50,
ASS3 - Alto Friuli,3.2 Carnia,49,ASP Casa Degli Operai Vecchi Ed Inabili Al Lavoro Matteo Brunetti,pubblica ASP,ASP Casa Degli Operai Vecchi Ed Inabili Al Lavoro Matteo Brunetti,VIA NAZIONALE,31,33026,Paluzza ,13.0143371,46.5296598,house,UD,+39 0433 775121,+39 0433 775012,info@covilpaluzza.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica ASP, convenzionata con SSR; ASS3 - Alto Friuli, distretto 3.2 Carnia",nursing_home,senior;disabled,130,33,97,
ASS6 - Friuli occidentale,6.5 Urbano,50,ASP Casa per anziani Umberto I,pubblica ASP,ASP Casa per anziani Umberto I,PIAZZA DELLA MOTTA,12,33170,Pordenone,12.662085759597229,45.95576375,social_facility,PN,+39 0434 223811,+39 0434 223822,direzione@asp-umbertoprimo.regione.fvg.it,convenzionata,Residenza protetta,"Residenza protetta, pubblica ASP, convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.5 Urbano",nursing_home,disabled,106,,106,
ASS6 - Friuli occidentale,6.4 Nord,51,ASP Cavasso,pubblica ASP,ASP Cavasso,Via Vittorio Veneto,91,33092,Cavasso Nuovo ,12.7637662,46.1892623,house,PN,+39 0427 77248,+39 0427 77248,accettazione@aspcavasso.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica ASP, convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.4 Nord",nursing_home,senior;disabled,91,3,88,
ASS6 - Friuli occidentale,6.5 Urbano,52,ASP Cordenonese Arcobaleno,pubblica ASP,ASP Cordenonese Arcobaleno,Via Cervel,68,33084,Cordenons ,12.70308527482656,45.9904162,social_facility,PN,+39 0434 930440,+39 0434 580334,protocollo@aspcordenonese.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica ASP, convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.5 Urbano",nursing_home,senior;disabled,113,1,112,
ASS3 - Alto Friuli,3.2 Carnia,53,ASP della Carnia San Luigi Scrosoppi,pubblica ASP,ASP della Carnia San Luigi Scrosoppi,Via gio batta Morgagni,5,33028,Tolmezzo ,13.01003,46.4056874,social_facility,UD,+39 0433 481611,+39 0433 44422,info@aspcarnia.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica ASP, convenzionata con SSR; ASS3 - Alto Friuli, distretto 3.2 Carnia",nursing_home,senior;disabled,166,16,150,
ASS6 - Friuli occidentale,6.4 Nord,54,ASP di Spilimbergo,pubblica ASP,ASP di Spilimbergo,Viale Barbacane,19,33097,Spilimbergo ,12.900439,46.1127589,house,PN,+39 0427 2134,+39 0427 41268,azienda@aspspilimbergo.it,convenzionata,Residenza protetta,"Residenza protetta, pubblica ASP, convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.4 Nord",nursing_home,disabled,204,,204,
ASS1 - Triestina,1.2 Sud,55,Casa albergo Domus Mariae dell'Ente di culto San Giusto,privata sociale,,Via della Madonna del Mare,5,34149,Trieste,13.7666584,45.6472796,house,TS,+39 040 300771,+39 040 300772,domusmariae@alice.it,non convenzionata,Casa albergo,"Casa albergo, privata sociale, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",assisted_living,senior,45,45,,
ASS1 - Triestina,1.2 Sud,56,Casa albergo Enrico Caratti,pubblica ASP,Casa albergo Enrico Caratti,Via Valdirivo,11,34132,Trieste,13.772436,45.6536279,house,TS,+39 040 365110,+39 040 3405449,info@prosenectutets.it,non convenzionata,Casa albergo,"Casa albergo, pubblica ASP, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",assisted_living,senior,10,10,,
ASS1 - Triestina,1.2 Sud,57,Casa albergo Maria Basiliadis dell'Ente di culto San Giusto,privata sociale,,Via Pierluigi da Palestrina,6,34133,Trieste,13.7791359,45.6529323,house,TS,+39 040 371363,+39 040 371363,elena@casamariabasiliadis.191.it,non convenzionata,Casa albergo,"Casa albergo, privata sociale, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",assisted_living,senior,35,35,,
ASS1 - Triestina,1.1 Ovest,58,Casa albergo Sacro Cuore,ente religioso,,Via del Cerreto,2,34136,Trieste,13.7566921,45.6788013,kindergarten,TS,+39 040 410096,+39 040 422636,orsoline.trieste@tiscali.it,non convenzionata,Casa albergo,"Casa albergo, ente religioso, non convenzionata con SSR; ASS1 - Triestina, distretto 1.1 Ovest",assisted_living,senior,13,13,,
ASS5 - Bassa Friulana,5.2 Ovest,59,Casa albergo Comune di Rivignano,pubblica comunale,Comune di Rivignano ,Via Udine,5,33050,Rivignano ,13.0410646,45.878305,house,UD,+39 0432 775793,+39 0432 775793,,convenzionata,Casa albergo,"Casa albergo, pubblica comunale, convenzionata con SSR; ASS5 - Bassa Friulana, distretto 5.2 Ovest",assisted_living,senior,22,22,,
ASS2 - Isontina,2.1 Alto Isontino,60,Casa albergo Fondazione O. Brovedani Onlus,privata sociale,,Via michele Eulambio,3,34072,Gradisca D'Isonzo ,13.4955572,45.8951622,house,GO,+39 0481 967511,+39 0481 960591,segr@fondazionebrovedani.it,non convenzionata,Casa albergo,"Casa albergo, privata sociale, non convenzionata con SSR; ASS2 - Isontina, distretto 2.1 Alto Isontino",assisted_living,senior,98,98,,
ASS6 - Friuli occidentale,6.4 Nord,61,Casa albergo per anziani Cimolais,privata sociale,,Via Diciannove Ottobre,43,33080,Cimolais ,12.437602,46.29045,house,PN,+39 0427 87035,+39 0427 87035,l.protti@itaca.coopsoc.it,non convenzionata,Casa albergo,"Casa albergo, privata sociale, non convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.4 Nord",assisted_living,senior,32,32,,
ASS6 - Friuli occidentale,6.5 Urbano,62,Casa anziani San Quirino,pubblica comunale,Comune di San Quirino ,VIA PIAZZETTA,4,33080,San Quirino ,12.6789207,46.0363531,house,PN,+39 0434 91250,+39 0434 917682,casaanzianisq2005@libero.it,convenzionata,Residenza protetta,"Residenza protetta, pubblica comunale, convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.5 Urbano",nursing_home,disabled,44,,44,
ASS6 - Friuli occidentale,6.5 Urbano,63,Casa Betania Opera sacerdozio regale,privata sociale,,Via Villanova,14,33170,Pordenone,12.6664562,45.9453933,house,PN,+39 0434 570019 - 0434 960019,+39 0434 572664,,non convenzionata,Casa albergo,"Casa albergo, privata sociale, non convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.5 Urbano",assisted_living,senior,27,27,,
ASS6 - Friuli occidentale,6.4 Nord,64,Casa dell'Emigrante Cesare e Agnese Carnera,pubblica comunale,Comune di Sequals ,Via Gian domenico Facchina,82,33090,Sequals ,12.836733709586728,46.1724812,social_facility,PN,+39 0427 93231 - 0427 93263,+39 0427 939176,casa.emigrante@com-sequals.regione.fvg.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica comunale, convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.4 Nord",nursing_home,senior;disabled,93,10,83,
